No.,Time,Source,Destination,Protocol,Length,Sequence Number (raw),Acknowledgment number (raw),Acknowledgment Number,Sequence Number,Info
46781,93.340536227,128.135.11.239,192.168.0.100,TCP,1594,1626491881.0,3239385856.0,1269.0,38228.0,"[TCP Retransmission] 443  >  49751 [PSH, ACK] Seq=38228 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2512432290"
46782,93.340726215,128.135.11.239,192.168.0.100,TCP,1594,3382209521.0,681587631.0,1068.0,34491.0,[TCP Retransmission] 443  >  49752 [ACK] Seq=34491 Ack=1068 Win=64384 Len=1448 TSval=80231310 TSecr=2913716038
46783,93.340735985,128.135.11.239,192.168.0.100,TCP,1594,3382210969.0,681587631.0,1068.0,35939.0,"[TCP Retransmission] 443  >  49752 [PSH, ACK] Seq=35939 Ack=1068 Win=64384 Len=1448 TSval=80231310 TSecr=2913716038"
46787,93.342576078,128.135.11.239,192.168.0.100,TCP,1594,1626493329.0,3239385856.0,1269.0,39676.0,443  >  49751 [ACK] Seq=39676 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2512432291 [TCP segment of a reassembled PDU]
46788,93.342589143,128.135.11.239,192.168.0.100,TCP,1594,1626494777.0,3239385856.0,1269.0,41124.0,"443  >  49751 [PSH, ACK] Seq=41124 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2512432291 [TCP segment of a reassembled PDU]"
46789,93.342593844,128.135.11.239,192.168.0.100,TCP,1594,1895900591.0,770048151.0,1269.0,91804.0,443  >  49750 [ACK] Seq=91804 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2607754219 [TCP segment of a reassembled PDU]
46790,93.342599468,128.135.11.239,192.168.0.100,TCP,1594,1895902039.0,770048151.0,1269.0,93252.0,443  >  49750 [ACK] Seq=93252 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2607754219 [TCP segment of a reassembled PDU]
46791,93.3426039,128.135.11.239,192.168.0.100,TCP,1594,1895903487.0,770048151.0,1269.0,94700.0,443  >  49750 [ACK] Seq=94700 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2607754219 [TCP segment of a reassembled PDU]
46792,93.342618416,128.135.11.239,192.168.0.100,TCP,1594,1895904935.0,770048151.0,1269.0,96148.0,443  >  49750 [ACK] Seq=96148 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2607754219 [TCP segment of a reassembled PDU]
46793,93.342625017,128.135.11.239,192.168.0.100,TLSv1.3,1594,3382212417.0,681587631.0,1068.0,37387.0,Application Data
46794,93.342633256,128.135.11.239,192.168.0.100,TCP,1594,1895906383.0,770048151.0,1269.0,97596.0,443  >  49750 [ACK] Seq=97596 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2607754219 [TCP segment of a reassembled PDU]
46795,93.342639714,128.135.11.239,192.168.0.100,TCP,1594,3382213865.0,681587631.0,1068.0,38835.0,443  >  49752 [ACK] Seq=38835 Ack=1068 Win=64384 Len=1448 TSval=80231310 TSecr=2913716039 [TCP segment of a reassembled PDU]
46796,93.342648375,128.135.11.239,192.168.0.100,TLSv1.2,1594,1895907831.0,770048151.0,1269.0,99044.0,Application Data
46797,93.342654871,128.135.11.239,192.168.0.100,TCP,1594,3382215313.0,681587631.0,1068.0,40283.0,"443  >  49752 [PSH, ACK] Seq=40283 Ack=1068 Win=64384 Len=1448 TSval=80231310 TSecr=2913716039 [TCP segment of a reassembled PDU]"
46798,93.342662366,128.135.11.239,192.168.0.100,TCP,1594,1895909279.0,770048151.0,1269.0,100492.0,443  >  49750 [ACK] Seq=100492 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2607754219 [TCP segment of a reassembled PDU]
46799,93.342668514,128.135.11.239,192.168.0.100,TCP,1594,3382216761.0,681587631.0,1068.0,41731.0,443  >  49752 [ACK] Seq=41731 Ack=1068 Win=64384 Len=1448 TSval=80231310 TSecr=2913716039 [TCP segment of a reassembled PDU]
46800,93.342676846,128.135.11.239,192.168.0.100,TCP,1594,1895910727.0,770048151.0,1269.0,101940.0,443  >  49750 [ACK] Seq=101940 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2607754219 [TCP segment of a reassembled PDU]
46801,93.342681668,128.135.11.239,192.168.0.100,TCP,1594,3382218209.0,681587631.0,1068.0,43179.0,443  >  49752 [ACK] Seq=43179 Ack=1068 Win=64384 Len=1448 TSval=80231310 TSecr=2913716039 [TCP segment of a reassembled PDU]
46802,93.342686984,128.135.11.239,192.168.0.100,TCP,1594,1895912175.0,770048151.0,1269.0,103388.0,443  >  49750 [ACK] Seq=103388 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2607754219 [TCP segment of a reassembled PDU]
46803,93.342691334,128.135.11.239,192.168.0.100,TCP,1594,3382219657.0,681587631.0,1068.0,44627.0,"443  >  49752 [PSH, ACK] Seq=44627 Ack=1068 Win=64384 Len=1448 TSval=80231310 TSecr=2913716039 [TCP segment of a reassembled PDU]"
46804,93.342696951,128.135.11.239,192.168.0.100,TCP,1594,1895913623.0,770048151.0,1269.0,104836.0,"443  >  49750 [PSH, ACK] Seq=104836 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2607754219 [TCP segment of a reassembled PDU]"
46805,93.342701497,128.135.11.239,192.168.0.100,TCP,1594,1895915071.0,770048151.0,1269.0,106284.0,443  >  49750 [ACK] Seq=106284 Ack=1269 Win=64128 Len=1448 TSval=80231311 TSecr=2607754219 [TCP segment of a reassembled PDU]
46806,93.342878829,128.135.11.239,192.168.0.100,TCP,1594,1895916519.0,770048151.0,1269.0,107732.0,443  >  49750 [ACK] Seq=107732 Ack=1269 Win=64128 Len=1448 TSval=80231311 TSecr=2607754219 [TCP segment of a reassembled PDU]
46807,93.34288845,128.135.11.239,192.168.0.100,TLSv1.2,1127,1895917967.0,770048151.0,1269.0,109180.0,Application Data
46811,93.344914467,128.135.11.239,192.168.0.100,TCP,1594,1626493329.0,3239385856.0,1269.0,39676.0,[TCP Out-Of-Order] 443  >  49751 [ACK] Seq=39676 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2512432291 [TCP segment of a reassembled PDU]
46812,93.344924078,128.135.11.239,192.168.0.100,TCP,1594,1626494777.0,3239385856.0,1269.0,41124.0,"[TCP Retransmission] 443  >  49751 [PSH, ACK] Seq=41124 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2512432291"
46813,93.344930973,128.135.11.239,192.168.0.100,TCP,1594,1895900591.0,770048151.0,1269.0,91804.0,"[TCP Out-Of-Order] 443  >  49750 [ACK] Seq=91804 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2607754219[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
46814,93.344935415,128.135.11.239,192.168.0.100,TCP,1594,1895902039.0,770048151.0,1269.0,93252.0,"[TCP Out-Of-Order] 443  >  49750 [ACK] Seq=93252 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2607754219[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
46815,93.344940966,128.135.11.239,192.168.0.100,TCP,1594,1895903487.0,770048151.0,1269.0,94700.0,"[TCP Out-Of-Order] 443  >  49750 [ACK] Seq=94700 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2607754219[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
46816,93.344945387,128.135.11.239,192.168.0.100,TCP,1594,1895904935.0,770048151.0,1269.0,96148.0,"[TCP Out-Of-Order] 443  >  49750 [ACK] Seq=96148 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2607754219[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
46817,93.344950728,128.135.11.239,192.168.0.100,TCP,1594,3382212417.0,681587631.0,1068.0,37387.0,"[TCP Out-Of-Order] 443  >  49752 [ACK] Seq=37387 Ack=1068 Win=64384 Len=1448 TSval=80231310 TSecr=2913716039[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
46818,93.344955387,128.135.11.239,192.168.0.100,TCP,1594,1895906383.0,770048151.0,1269.0,97596.0,"[TCP Out-Of-Order] 443  >  49750 [ACK] Seq=97596 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2607754219[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
46819,93.344978706,128.135.11.239,192.168.0.100,TCP,1594,3382213865.0,681587631.0,1068.0,38835.0,[TCP Out-Of-Order] 443  >  49752 [ACK] Seq=38835 Ack=1068 Win=64384 Len=1448 TSval=80231310 TSecr=2913716039 [TCP segment of a reassembled PDU]
46820,93.344983191,128.135.11.239,192.168.0.100,TCP,1594,1895907831.0,770048151.0,1269.0,99044.0,"[TCP Out-Of-Order] 443  >  49750 [ACK] Seq=99044 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2607754219[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
46821,93.344988703,128.135.11.239,192.168.0.100,TCP,1594,3382215313.0,681587631.0,1068.0,40283.0,"[TCP Out-Of-Order] 443  >  49752 [PSH, ACK] Seq=40283 Ack=1068 Win=64384 Len=1448 TSval=80231310 TSecr=2913716039 [TCP segment of a reassembled PDU]"
46822,93.344993474,128.135.11.239,192.168.0.100,TCP,1594,1895909279.0,770048151.0,1269.0,100492.0,"[TCP Out-Of-Order] 443  >  49750 [ACK] Seq=100492 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2607754219[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
46823,93.344999831,128.135.11.239,192.168.0.100,TCP,1594,3382216761.0,681587631.0,1068.0,41731.0,[TCP Out-Of-Order] 443  >  49752 [ACK] Seq=41731 Ack=1068 Win=64384 Len=1448 TSval=80231310 TSecr=2913716039 [TCP segment of a reassembled PDU]
46824,93.345004337,128.135.11.239,192.168.0.100,TCP,1594,1895910727.0,770048151.0,1269.0,101940.0,"[TCP Out-Of-Order] 443  >  49750 [ACK] Seq=101940 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2607754219[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
46825,93.34500987,128.135.11.239,192.168.0.100,TCP,1594,3382218209.0,681587631.0,1068.0,43179.0,[TCP Out-Of-Order] 443  >  49752 [ACK] Seq=43179 Ack=1068 Win=64384 Len=1448 TSval=80231310 TSecr=2913716039 [TCP segment of a reassembled PDU]
46826,93.345014347,128.135.11.239,192.168.0.100,TCP,1594,1895912175.0,770048151.0,1269.0,103388.0,"[TCP Out-Of-Order] 443  >  49750 [ACK] Seq=103388 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2607754219[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
46827,93.345028991,128.135.11.239,192.168.0.100,TCP,1594,3382219657.0,681587631.0,1068.0,44627.0,"[TCP Retransmission] 443  >  49752 [PSH, ACK] Seq=44627 Ack=1068 Win=64384 Len=1448 TSval=80231310 TSecr=2913716039"
46828,93.345035559,128.135.11.239,192.168.0.100,TCP,1594,1895913623.0,770048151.0,1269.0,104836.0,"[TCP Out-Of-Order] 443  >  49750 [PSH, ACK] Seq=104836 Ack=1269 Win=64128 Len=1448 TSval=80231310 TSecr=2607754219[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
46829,93.345043245,128.135.11.239,192.168.0.100,TCP,1594,1895915071.0,770048151.0,1269.0,106284.0,"[TCP Out-Of-Order] 443  >  49750 [ACK] Seq=106284 Ack=1269 Win=64128 Len=1448 TSval=80231311 TSecr=2607754219[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
46830,93.345067972,128.135.11.239,192.168.0.100,TCP,1594,1895916519.0,770048151.0,1269.0,107732.0,"[TCP Out-Of-Order] 443  >  49750 [ACK] Seq=107732 Ack=1269 Win=64128 Len=1448 TSval=80231311 TSecr=2607754219[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
46831,93.345266829,128.135.11.239,192.168.0.100,TCP,1127,1895917967.0,770048151.0,1269.0,109180.0,"[TCP Retransmission] 443  >  49750 [PSH, ACK] Seq=109180 Ack=1269 Win=64128 Len=981 TSval=80231311 TSecr=2607754219"
46835,93.345456648,128.135.11.239,192.168.0.100,TCP,1594,3382221105.0,681587631.0,1068.0,46075.0,443  >  49752 [ACK] Seq=46075 Ack=1068 Win=64384 Len=1448 TSval=80231317 TSecr=2913716041 [TCP segment of a reassembled PDU]
46836,93.345466935,128.135.11.239,192.168.0.100,TCP,1594,3382222553.0,681587631.0,1068.0,47523.0,"443  >  49752 [PSH, ACK] Seq=47523 Ack=1068 Win=64384 Len=1448 TSval=80231317 TSecr=2913716041 [TCP segment of a reassembled PDU]"
46852,93.353721199,128.135.11.239,192.168.0.100,TCP,1127,1895917967.0,770048151.0,1269.0,109180.0,"[TCP Retransmission] 443  >  49750 [PSH, ACK] Seq=109180 Ack=1269 Win=64128 Len=981 TSval=80231341 TSecr=2607754221"
46866,93.355821823,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895870183.0,61396.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=61396 Win=131072 Len=0 TSval=2607754221 TSecr=80231309
46867,93.355827769,192.168.0.100,128.135.11.239,TCP,146,681587631.0,3382195041.0,20011.0,1068.0,49752  >  443 [ACK] Seq=1068 Ack=20011 Win=129600 Len=0 TSval=2913716041 TSecr=80231309
46868,93.355832735,192.168.0.100,128.135.11.239,TCP,146,3239385856.0,1626468713.0,15060.0,1269.0,49751  >  443 [ACK] Seq=1269 Ack=15060 Win=129600 Len=0 TSval=2512432294 TSecr=80231309
46869,93.355838235,192.168.0.100,128.135.11.239,TCP,146,681587631.0,3382196489.0,21459.0,1068.0,49752  >  443 [ACK] Seq=1068 Ack=21459 Win=129600 Len=0 TSval=2913716042 TSecr=80231309
46870,93.355843536,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895873079.0,64292.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=64292 Win=129600 Len=0 TSval=2607754222 TSecr=80231309
46871,93.355848465,192.168.0.100,128.135.11.239,TCP,146,3239385856.0,1626470161.0,16508.0,1269.0,49751  >  443 [ACK] Seq=1269 Ack=16508 Win=128128 Len=0 TSval=2512432294 TSecr=80231309
46872,93.355853406,192.168.0.100,128.135.11.239,TCP,146,3239385856.0,1626470161.0,16508.0,1269.0,[TCP Window Update] 49751  >  443 [ACK] Seq=1269 Ack=16508 Win=131072 Len=0 TSval=2512432294 TSecr=80231309
46873,93.355858282,192.168.0.100,128.135.11.239,TCP,146,681587631.0,3382197937.0,22907.0,1068.0,49752  >  443 [ACK] Seq=1068 Ack=22907 Win=131072 Len=0 TSval=2913716043 TSecr=80231309
46874,93.35586329,192.168.0.100,128.135.11.239,TCP,146,3239385856.0,1626471609.0,17956.0,1269.0,49751  >  443 [ACK] Seq=1269 Ack=17956 Win=129600 Len=0 TSval=2512432295 TSecr=80231309
46875,93.355869099,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895874527.0,65740.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=65740 Win=131072 Len=0 TSval=2607754223 TSecr=80231309
46876,93.355874668,192.168.0.100,128.135.11.239,TCP,146,3239385856.0,1626473057.0,19404.0,1269.0,49751  >  443 [ACK] Seq=1269 Ack=19404 Win=129600 Len=0 TSval=2512432295 TSecr=80231309
46877,93.355879657,192.168.0.100,128.135.11.239,TCP,146,681587631.0,3382200833.0,25803.0,1068.0,49752  >  443 [ACK] Seq=1068 Ack=25803 Win=129600 Len=0 TSval=2913716043 TSecr=80231309
46878,93.355884693,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895877423.0,68636.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=68636 Win=129600 Len=0 TSval=2607754223 TSecr=80231309
46879,93.355890344,192.168.0.100,128.135.11.239,TCP,146,3239385856.0,1626474505.0,20852.0,1269.0,49751  >  443 [ACK] Seq=1269 Ack=20852 Win=129600 Len=0 TSval=2512432295 TSecr=80231309
46880,93.355895568,192.168.0.100,128.135.11.239,TCP,146,3239385856.0,1626475953.0,22300.0,1269.0,49751  >  443 [ACK] Seq=1269 Ack=22300 Win=129600 Len=0 TSval=2512432295 TSecr=80231309
46881,93.355900678,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895878871.0,70084.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=70084 Win=131072 Len=0 TSval=2607754223 TSecr=80231309
46882,93.355906303,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895880319.0,71532.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=71532 Win=131072 Len=0 TSval=2607754224 TSecr=80231309
46883,93.355911298,192.168.0.100,128.135.11.239,TCP,146,3239385856.0,1626477401.0,23748.0,1269.0,49751  >  443 [ACK] Seq=1269 Ack=23748 Win=129600 Len=0 TSval=2512432296 TSecr=80231309
46884,93.355916264,192.168.0.100,128.135.11.239,TCP,146,3239385856.0,1626480297.0,26644.0,1269.0,49751  >  443 [ACK] Seq=1269 Ack=26644 Win=128128 Len=0 TSval=2512432298 TSecr=80231309
46885,93.355921661,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895884663.0,75876.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=75876 Win=126720 Len=0 TSval=2607754226 TSecr=80231309
46886,93.355927288,192.168.0.100,128.135.11.239,TCP,146,3239385856.0,1626481745.0,28092.0,1269.0,49751  >  443 [ACK] Seq=1269 Ack=28092 Win=131072 Len=0 TSval=2512432298 TSecr=80231309
46887,93.355932336,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895886111.0,77324.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=77324 Win=131072 Len=0 TSval=2607754226 TSecr=80231309
46888,93.35593777,192.168.0.100,128.135.11.239,TCP,146,681587631.0,3382202281.0,27251.0,1068.0,49752  >  443 [ACK] Seq=1068 Ack=27251 Win=131072 Len=0 TSval=2913716046 TSecr=80231309
46889,93.355942647,192.168.0.100,128.135.11.239,TCP,146,3239385856.0,1626484641.0,30988.0,1269.0,49751  >  443 [ACK] Seq=1269 Ack=30988 Win=129600 Len=0 TSval=2512432298 TSecr=80231309
46890,93.355948288,192.168.0.100,128.135.11.239,TCP,146,681587631.0,3382203729.0,28699.0,1068.0,49752  >  443 [ACK] Seq=1068 Ack=28699 Win=131072 Len=0 TSval=2913716046 TSecr=80231309
46891,93.355953715,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895887559.0,78772.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=78772 Win=131072 Len=0 TSval=2607754226 TSecr=80231309
46892,93.355959556,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895890455.0,81668.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=81668 Win=128128 Len=0 TSval=2607754233 TSecr=80231309
46893,93.355964128,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895890455.0,81668.0,1269.0,[TCP Window Update] 49750  >  443 [ACK] Seq=1269 Ack=81668 Win=131072 Len=0 TSval=2607754233 TSecr=80231309
46894,93.355969169,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895893351.0,84564.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=84564 Win=128128 Len=0 TSval=2607754233 TSecr=80231309
46895,93.355976466,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895894799.0,86012.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=86012 Win=131072 Len=0 TSval=2607754233 TSecr=80231309
46896,93.355982381,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895897695.0,88908.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=88908 Win=128128 Len=0 TSval=2607754233 TSecr=80231309
46897,93.355987288,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895899143.0,90356.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=90356 Win=131072 Len=0 TSval=2607754233 TSecr=80231309
46898,93.355992365,192.168.0.100,128.135.11.239,TCP,146,3239385856.0,1626487537.0,33884.0,1269.0,49751  >  443 [ACK] Seq=1269 Ack=33884 Win=128128 Len=0 TSval=2512432305 TSecr=80231310
46899,93.355997319,192.168.0.100,128.135.11.239,TCP,146,3239385856.0,1626487537.0,33884.0,1269.0,[TCP Window Update] 49751  >  443 [ACK] Seq=1269 Ack=33884 Win=131072 Len=0 TSval=2512432305 TSecr=80231310
46900,93.356002328,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895900591.0,91804.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=91804 Win=131072 Len=0 TSval=2607754233 TSecr=80231309
46901,93.356007676,192.168.0.100,128.135.11.239,TCP,146,3239385856.0,1626488985.0,35332.0,1269.0,49751  >  443 [ACK] Seq=1269 Ack=35332 Win=131072 Len=0 TSval=2512432306 TSecr=80231310
46902,93.356012336,192.168.0.100,128.135.11.239,TCP,146,681587631.0,3382208073.0,33043.0,1068.0,49752  >  443 [ACK] Seq=1068 Ack=33043 Win=128128 Len=0 TSval=2913716054 TSecr=80231310
46903,93.356017253,192.168.0.100,128.135.11.239,TCP,146,681587631.0,3382209521.0,34491.0,1068.0,49752  >  443 [ACK] Seq=1068 Ack=34491 Win=131072 Len=0 TSval=2913716054 TSecr=80231310
46904,93.356022758,192.168.0.100,128.135.11.239,TCP,146,3239385856.0,1626493329.0,39676.0,1269.0,49751  >  443 [ACK] Seq=1269 Ack=39676 Win=128128 Len=0 TSval=2512432306 TSecr=80231310
46905,93.3560284,192.168.0.100,128.135.11.239,TCP,146,3239385856.0,1626493329.0,39676.0,1269.0,[TCP Window Update] 49751  >  443 [ACK] Seq=1269 Ack=39676 Win=131072 Len=0 TSval=2512432306 TSecr=80231310
46906,93.356033686,192.168.0.100,128.135.11.239,TCP,146,681587631.0,3382212417.0,37387.0,1068.0,49752  >  443 [ACK] Seq=1068 Ack=37387 Win=128128 Len=0 TSval=2913716054 TSecr=80231310
46907,93.356039468,192.168.0.100,128.135.11.239,TCP,146,681587631.0,3382212417.0,37387.0,1068.0,[TCP Window Update] 49752  >  443 [ACK] Seq=1068 Ack=37387 Win=131072 Len=0 TSval=2913716054 TSecr=80231310
46908,93.356044993,192.168.0.100,128.135.11.239,TCP,146,3239385856.0,1626496225.0,42572.0,1269.0,49751  >  443 [ACK] Seq=1269 Ack=42572 Win=128128 Len=0 TSval=2512432311 TSecr=80231310
46909,93.356050866,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895902039.0,93252.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=93252 Win=194752 Len=0 TSval=2607754239 TSecr=80231310
46910,93.356056574,192.168.0.100,128.135.11.239,TCP,146,3239385856.0,1626496225.0,42572.0,1269.0,[TCP Window Update] 49751  >  443 [ACK] Seq=1269 Ack=42572 Win=131072 Len=0 TSval=2512432311 TSecr=80231310
46911,93.356062093,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895903487.0,94700.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=94700 Win=196224 Len=0 TSval=2607754239 TSecr=80231310
46912,93.356067444,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895906383.0,97596.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=97596 Win=193280 Len=0 TSval=2607754239 TSecr=80231310
46919,93.356776034,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895907831.0,99044.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=99044 Win=196224 Len=0 TSval=2607754239 TSecr=80231310
46920,93.356783825,192.168.0.100,128.135.11.239,TCP,146,681587631.0,3382215313.0,40283.0,1068.0,49752  >  443 [ACK] Seq=1068 Ack=40283 Win=129472 Len=0 TSval=2913716059 TSecr=80231310
46921,93.356789056,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895912175.0,103388.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=103388 Win=191872 Len=0 TSval=2607754240 TSecr=80231310
46922,93.356794205,192.168.0.100,128.135.11.239,TCP,146,681587631.0,3382218209.0,43179.0,1068.0,49752  >  443 [ACK] Seq=1068 Ack=43179 Win=128128 Len=0 TSval=2913716060 TSecr=80231310
46923,93.356799347,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895912175.0,103388.0,1269.0,[TCP Window Update] 49750  >  443 [ACK] Seq=1269 Ack=103388 Win=196224 Len=0 TSval=2607754240 TSecr=80231310
46924,93.356805885,192.168.0.100,128.135.11.239,TCP,146,681587631.0,3382219657.0,44627.0,1068.0,49752  >  443 [ACK] Seq=1068 Ack=44627 Win=131072 Len=0 TSval=2913716060 TSecr=80231310
46925,93.356810735,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895915071.0,106284.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=106284 Win=193280 Len=0 TSval=2607754240 TSecr=80231310
46926,93.356817005,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895916519.0,107732.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=107732 Win=196224 Len=0 TSval=2607754240 TSecr=80231311
46927,93.356823097,192.168.0.100,128.135.11.239,TCP,146,681587631.0,3382221105.0,46075.0,1068.0,49752  >  443 [ACK] Seq=1068 Ack=46075 Win=131072 Len=0 TSval=2913716060 TSecr=80231310
46928,93.356829671,192.168.0.100,128.135.11.239,TCP,146,770048151.0,1895918948.0,110161.0,1269.0,49750  >  443 [ACK] Seq=1269 Ack=110161 Win=193792 Len=0 TSval=2607754240 TSecr=80231311
46929,93.356836717,192.168.0.100,128.135.11.239,TCP,146,681587631.0,3382224001.0,48971.0,1068.0,49752  >  443 [ACK] Seq=1068 Ack=48971 Win=128128 Len=0 TSval=2913716063 TSecr=80231317
46930,93.356844357,192.168.0.100,128.135.11.239,TCP,146,681587631.0,3382224001.0,48971.0,1068.0,[TCP Window Update] 49752  >  443 [ACK] Seq=1068 Ack=48971 Win=131072 Len=0 TSval=2913716063 TSecr=80231317
46931,93.356849844,192.168.0.100,128.135.11.239,TCP,158,770048151.0,1895918948.0,110161.0,1269.0,[TCP Window Update] 49750  >  443 [ACK] Seq=1269 Ack=110161 Win=196224 Len=0 TSval=2607754251 TSecr=80231341 SLE=109180 SRE=110161
46935,93.357388352,128.135.11.239,192.168.0.100,TCP,1594,3382224001.0,681587631.0,1068.0,48971.0,443  >  49752 [ACK] Seq=48971 Ack=1068 Win=64384 Len=1448 TSval=80231344 TSecr=2913716041 [TCP segment of a reassembled PDU]
46936,93.357398865,128.135.11.239,192.168.0.100,TCP,1594,3382225449.0,681587631.0,1068.0,50419.0,"443  >  49752 [PSH, ACK] Seq=50419 Ack=1068 Win=64384 Len=1448 TSval=80231344 TSecr=2913716041 [TCP segment of a reassembled PDU]"
46937,93.357405391,128.135.11.239,192.168.0.100,TCP,1594,1626496225.0,3239385856.0,1269.0,42572.0,443  >  49751 [ACK] Seq=42572 Ack=1269 Win=64128 Len=1448 TSval=80231344 TSecr=2512432294 [TCP segment of a reassembled PDU]
46938,93.357413262,128.135.11.239,192.168.0.100,TCP,1594,1626497673.0,3239385856.0,1269.0,44020.0,"443  >  49751 [PSH, ACK] Seq=44020 Ack=1269 Win=64128 Len=1448 TSval=80231344 TSecr=2512432294 [TCP segment of a reassembled PDU]"
46939,93.357419434,128.135.11.239,192.168.0.100,TCP,1594,3382226897.0,681587631.0,1068.0,51867.0,443  >  49752 [ACK] Seq=51867 Ack=1068 Win=64384 Len=1448 TSval=80231344 TSecr=2913716042 [TCP segment of a reassembled PDU]
46943,93.358242056,128.135.11.239,192.168.0.100,TCP,1594,3382228345.0,681587631.0,1068.0,53315.0,"443  >  49752 [PSH, ACK] Seq=53315 Ack=1068 Win=64384 Len=1448 TSval=80231344 TSecr=2913716042 [TCP segment of a reassembled PDU]"
